Date,Time,Year,Month,Day,DOW,DOW.Name,MaxT,MeanT,MinT,RH,AH,ph,sh,pm25,pm10,o3,no2,so2,co,Rain
27/4/2009,117,2009,4,27,0,Monday,33.75714286,29.26071429,24.78571429,76.88928571,22.3432413,0,0,24.46528,37.375,21.89167,29.19028,19.81652,0.5191666,0
28/4/2009,118,2009,4,28,1,Tuesday,30.22857143,26.77916667,24.17142857,89.29285714,22.64736416,0,0,19.4875,28.67229,7.404167,22.7711,8.810367,0.5373611,86.6
29/4/2009,119,2009,4,29,2,Wednesday,32.7,28.1797619,24.52857143,82.80833333,22.68608885,0,0,22.62431,34.45833,8.589583,21.79783,15.61771,0.5736111,0
30/4/2009,120,2009,4,30,3,Thursday,30.55714286,27.40297619,24.28571429,84.13690476,22.08751104,0,0,22.07639,31.31944,10.22708,26.04899,13.3907,0.6052778,0
1/5/2009,121,2009,5,1,4,Friday,33.54285714,28.82321429,25.21428571,78.03333333,22.14254383,1,0,17.5375,25.23611,21.42014,25.01515,10.27718,0.5547222,0
2/5/2009,122,2009,5,2,5,Saturday,31.62857143,28.4952381,25.05714286,81.21904762,22.637866,0,0,18.88889,28.09259,14.92778,25.39061,12.79667,0.5780556,31.3
3/5/2009,123,2009,5,3,6,Sunday,32.1,28.36964286,23.41428571,79.50714286,22.0091754,0,0,12.29167,17.85995,16.76389,16.79017,11.91663,0.4125,3.7
4/5/2009,124,2009,5,4,0,Monday,30.82857143,27.78214286,24.78571429,82.30595238,22.0621775,0,0,12.61319,18.89352,11.24167,19.69934,15.17361,0.4290972,20.6
5/5/2009,125,2009,5,5,1,Tuesday,32.65714286,29.05178571,24.9,77.11071429,22.15465475,0,0,15.06111,23.00926,11.79583,21.87374,19.55038,0.4657639,7.1
6/5/2009,126,2009,5,6,2,Wednesday,31.85714286,28.25059524,22.3,81.10238095,22.30505197,0,0,13.51389,19.86905,11.43472,20.82454,18.15665,0.4275,6.6
7/5/2009,127,2009,5,7,3,Thursday,33.18571429,29.29702381,24.58571429,76.78809524,22.35786043,0,0,14.79861,23.06944,11.23472,22.0015,18.41684,0.3611111,0
8/5/2009,128,2009,5,8,4,Friday,32.88571429,28.83035714,24.25714286,80.18214286,22.76111459,0,0,17.38889,25.4022,8.034722,21.09863,16.29006,0.44,41.3
9/5/2009,129,2009,5,9,5,Saturday,31.94285714,28.18154762,23.64285714,80.10714286,21.94824778,1,0,14.7875,22.43866,17.025,23.2088,16.18334,0.3877778,9.7
10/5/2009,130,2009,5,10,6,Sunday,32.3,28.24821429,24.54285714,80.175,22.04713807,0,0,14.87917,21.11682,15.26389,25.51493,16.61149,0.4092361,21.3
11/5/2009,131,2009,5,11,0,Monday,31.52857143,27.22083333,24.95714286,87.21309524,22.66633318,0,0,27.31528,37.5544,9.13125,33.05951,11.30342,0.5890278,0.5
12/5/2009,132,2009,5,12,1,Tuesday,32.34285714,28.31369048,24.72857143,81.56785714,22.51062584,0,0,22.88194,33.23785,10.12014,27.77045,8.301819,0.4731945,0.7
13/5/2009,133,2009,5,13,2,Wednesday,33.6,29.31428571,25.45714286,78.36190476,22.83746186,0,0,13.25139,19.43518,10.85833,17.97864,5.296429,0.3042361,8.2
14/5/2009,134,2009,5,14,3,Thursday,32.27142857,28.45178571,24.44285714,77.20714286,21.46867108,0,0,14.98611,22.43808,13.74167,29.02917,23.52468,0.3459028,2
15/5/2009,135,2009,5,15,4,Friday,33.41428571,27.77916667,24.32857143,82.77142857,22.18331778,0,0,23.86528,35.53629,21.79583,31.22896,9.413475,0.5705556,0
16/5/2009,136,2009,5,16,5,Saturday,32.64285714,27.79464286,25.12857143,83.00357143,22.26444505,0,0,23.84028,37.9184,17.525,37.20947,12.40433,0.646875,2.6
17/5/2009,137,2009,5,17,6,Sunday,33.74285714,29.02857143,25.17142857,75.475,21.657358,0,0,21.94375,33.32813,23.90764,29.30833,12.2063,0.4440278,0
18/5/2009,138,2009,5,18,0,Monday,29.13333333,26.51180556,23.53333333,86.175,21.53522732,0,0,25.19583,37.88021,9.893056,27.40666,11.91597,0.5091667,12.4
19/5/2009,139,2009,5,19,1,Tuesday,32.85714286,28.54166667,24.85714286,80.64761905,22.53565901,0,0,35.35,49.10648,17.96667,34.21856,20.43152,0.6632639,0
20/5/2009,140,2009,5,20,2,Wednesday,33.57142857,29.36428571,25.74285714,78.31547619,22.88593292,0,0,28.02361,38.62178,22.80347,29.74092,22.68078,0.4494444,0
21/5/2009,141,2009,5,21,3,Thursday,33.28571429,28.66190476,25.07142857,81.225,22.84639967,0,0,22.50208,34.26959,19.12569,27.86338,22.71652,0.4352084,1.8
22/5/2009,142,2009,5,22,4,Friday,33.64285714,29.39761905,25.18571429,76.99880952,22.5419001,0,0,22.38403,30.87037,15.20972,23.37033,16.9956,0.5301389,0
23/5/2009,143,2009,5,23,5,Saturday,32.94285714,28.16130952,25.41428571,82.49404762,22.57716994,0,0,16.13403,24.78357,13.62917,25.61139,11.35787,0.4380555,0
24/5/2009,144,2009,5,24,6,Sunday,33.31428571,29.3202381,25.51428571,79.61666667,23.21062585,0,0,16.72569,27.31647,17.88333,19.25827,14.87599,0.4520833,0
